FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,1,0,0,0,0
27/02/2020,5,0,0,0,0
28/02/2020,2,0,0,0,0
29/02/2020,4,0,0,0,0
01/03/2020,0,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,0,0,0,0,0
04/03/2020,0,0,0,0,0
05/03/2020,9,0,0,0,0
06/03/2020,6,0,0,0,0
07/03/2020,7,0,0,0,0
08/03/2020,20,0,1,0,11
09/03/2020,17,0,1,0,0
10/03/2020,19,32,3,0,0
11/03/2020,25,50,4,0,0
12/03/2020,104,92,8,0,0
13/03/2020,50,92,8,2,0
14/03/2020,168,92,8,4,0
15/03/2020,117,197,11,1,0
16/03/2020,129,229,13,4,0
17/03/2020,176,319,21,8,38
18/03/2020,149,384,25,4,0
19/03/2020,279,501,38,7,3
20/03/2020,228,605,53,10,0
21/03/2020,210,724,55,7,2
22/03/2020,236,865,77,11,12
23/03/2020,509,1132,102,29,16
24/03/2020,538,1433,116,26,5
25/03/2020,396,1626,134,21,6
26/03/2020,386,1843,148,10,15
27/03/2020,481,2106,172,31,47
28/03/2020,405,2294,201,32,9
29/03/2020,722,2671,216,29,7
30/03/2020,411,2867,235,12,5
31/03/2020,570,3147,260,60,22
01/04/2020,578,3444,280,35,46
02/04/2020,396,3673,338,33,30
03/04/2020,494,3896,364,50,205
04/04/2020,432,4107,474,44,202
05/04/2020,280,4227,489,21,133
06/04/2020,184,4335,499,37,102
07/04/2020,230,4463,520,77,141
08/04/2020,261,4599,538,47,152
09/04/2020,248,4715,582,39,244
10/04/2020,200,4808,602,46,193
11/04/2020,294,4950,619,62,208
12/04/2020,87,4993,621,16,129
13/04/2020,108,5054,631,21,65
14/04/2020,223,5147,665,29,192
15/04/2020,165,5226,671,47,410
16/04/2020,79,5298,675,28,156
17/04/2020,100,5341,677,27,158
18/04/2020,164,5424,687,26,168
19/04/2020,94,5473,690,20,113
20/04/2020,108,5509,692,4,182
21/04/2020,131,5565,696,33,158
22/04/2020,133,5616,702,29,278
23/04/2020,132,5675,714,28,145
24/04/2020,163,5715,717,24,303
25/04/2020,68,5747,716,14,446
26/04/2020,76,5767,720,12,149
27/04/2020,52,5792,721,11,149
28/04/2020,82,5831,722,20,233
29/04/2020,40,5873,721,19,438
30/04/2020,113,5935,729,31,624
01/05/2020,46,5961,735,15,487
02/05/2020,35,5961,736,3,76
03/05/2020,19,5973,738,7,124
04/05/2020,16,5983,738,4,209
05/05/2020,26,6012,740,14,449
06/05/2020,32,6027,742,13,397
07/05/2020,19,6038,742,7,359
08/05/2020,11,6069,745,16,344
