FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,0,0,0,0,0
01/03/2020,0,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,0,0,0,0,0
04/03/2020,1,0,0,0,0
05/03/2020,5,0,0,0,0
06/03/2020,5,0,0,0,0
07/03/2020,0,0,0,0,0
08/03/2020,2,0,3,3,0
09/03/2020,25,0,3,1,0
10/03/2020,7,22,3,0,0
11/03/2020,19,28,3,2,0
12/03/2020,16,30,3,1,0
13/03/2020,41,42,5,0,0
14/03/2020,26,59,5,0,0
15/03/2020,27,64,7,4,0
16/03/2020,33,74,9,1,0
17/03/2020,19,81,9,1,0
18/03/2020,55,101,14,2,0
19/03/2020,79,127,28,2,0
20/03/2020,64,192,33,5,0
21/03/2020,108,241,45,2,3
22/03/2020,106,298,52,8,27
23/03/2020,120,384,66,5,0
24/03/2020,149,459,75,3,1
25/03/2020,209,562,93,8,0
26/03/2020,222,693,114,10,4
27/03/2020,254,835,124,35,0
28/03/2020,266,835,124,11,0
29/03/2020,220,1094,156,2,166
30/03/2020,194,1176,165,32,30
31/03/2020,219,1234,168,31,53
01/04/2020,209,1320,178,31,63
02/04/2020,189,1431,180,24,58
03/04/2020,189,1505,190,27,62
04/04/2020,154,1588,233,19,97
05/04/2020,115,1637,237,14,28
06/04/2020,102,1663,247,28,13
07/04/2020,100,1716,255,37,81
08/04/2020,136,1765,261,36,59
09/04/2020,146,1822,263,24,79
10/04/2020,138,1860,266,16,91
11/04/2020,101,1901,272,25,46
12/04/2020,117,1938,274,14,12
13/04/2020,58,1966,280,28,17
14/04/2020,93,2006,282,22,49
15/04/2020,73,2108,291,29,75
16/04/2020,78,2151,240,19,34
17/04/2020,62,2180,243,39,0
18/04/2020,57,2216,246,18,54
19/04/2020,46,2244,248,18,3
20/04/2020,30,2271,250,6,4
21/04/2020,77,2304,252,13,348
22/04/2020,72,2340,253,25,150
23/04/2020,34,2359,254,14,101
24/04/2020,55,2372,255,14,148
25/04/2020,33,2395,257,3,31
26/04/2020,30,2403,257,14,50
27/04/2020,19,2425,258,9,71
28/04/2020,38,2454,258,1,108
29/04/2020,49,2477,258,3,102
30/04/2020,25,2494,260,10,91
01/05/2020,20,2503,260,12,92
02/05/2020,28,2519,260,0,84
03/05/2020,24,2526,260,1,66
04/05/2020,19,2539,260,8,80
05/05/2020,24,2552,260,18,86
06/05/2020,27,2564,262,12,90
07/05/2020,16,2578,263,15,73
08/05/2020,17,2583,263,8,53
