FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,1,0,0,0,0
01/03/2020,0,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,2,0,0,0,0
04/03/2020,1,0,0,0,0
05/03/2020,1,0,0,0,0
06/03/2020,2,0,0,0,0
07/03/2020,1,0,0,0,0
08/03/2020,2,0,2,0,0
09/03/2020,11,0,2,0,1
10/03/2020,16,12,2,0,0
11/03/2020,8,12,2,1,0
12/03/2020,17,16,2,0,0
13/03/2020,38,16,2,0,0
14/03/2020,45,16,3,0,0
15/03/2020,45,16,3,0,2
16/03/2020,46,34,5,0,0
17/03/2020,44,45,5,0,1
18/03/2020,56,61,6,0,0
19/03/2020,133,87,7,1,8
20/03/2020,76,133,12,3,4
21/03/2020,44,171,15,3,4
22/03/2020,68,194,22,4,1
23/03/2020,107,224,23,10,9
24/03/2020,85,263,29,3,5
25/03/2020,65,300,34,2,5
26/03/2020,81,339,47,2,12
27/03/2020,82,408,50,4,13
28/03/2020,95,466,57,8,11
29/03/2020,79,479,60,8,2
30/03/2020,79,529,65,6,12
31/03/2020,62,590,76,8,19
01/04/2020,81,640,79,6,26
02/04/2020,60,702,86,1,19
03/04/2020,62,766,87,6,36
04/04/2020,42,808,90,4,26
05/04/2020,53,846,90,6,6
06/04/2020,24,889,91,10,22
07/04/2020,41,958,91,6,50
08/04/2020,49,1018,94,8,46
09/04/2020,40,1083,100,11,32
10/04/2020,52,1147,105,7,42
11/04/2020,81,1208,106,12,16
12/04/2020,28,1265,110,9,4
13/04/2020,45,1330,111,7,24
14/04/2020,53,1387,114,10,29
15/04/2020,48,1432,116,2,35
16/04/2020,20,1474,118,6,23
17/04/2020,22,1520,119,13,30
18/04/2020,12,1571,120,9,21
19/04/2020,9,1599,122,4,3
20/04/2020,10,1626,122,2,17
21/04/2020,14,1665,128,9,26
22/04/2020,5,1705,130,12,23
23/04/2020,4,1728,131,8,23
24/04/2020,13,1760,132,8,28
25/04/2020,2,1790,134,10,33
26/04/2020,2,1814,137,4,10
27/04/2020,8,1843,137,8,21
28/04/2020,17,1886,137,5,29
29/04/2020,17,1915,137,7,26
30/04/2020,5,1938,140,0,25
01/05/2020,0,1974,141,6,30
02/05/2020,1,1995,142,1,18
03/05/2020,2,2014,142,4,9
04/05/2020,1,2046,142,0,19
05/05/2020,11,2081,142,3,17
06/05/2020,0,2117,143,5,18
07/05/2020,10,2141,144,0,12
08/05/2020,6,2166,145,1,29
