FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,1,0,0,0,0
01/03/2020,9,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,0,0,0,0,0
04/03/2020,0,0,0,0,0
05/03/2020,0,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,2,0,0,0,0
08/03/2020,0,0,0,0,0
09/03/2020,0,0,0,0,0
10/03/2020,0,0,0,0,0
11/03/2020,4,3,0,0,6
12/03/2020,13,3,0,0,1
13/03/2020,2,3,0,0,0
14/03/2020,20,3,0,0,3
15/03/2020,7,18,2,0,0
16/03/2020,0,18,2,0,0
17/03/2020,10,25,3,1,0
18/03/2020,15,40,4,0,0
19/03/2020,61,61,7,0,0
20/03/2020,71,92,9,1,1
21/03/2020,67,116,9,3,0
22/03/2020,65,157,14,1,0
23/03/2020,78,200,16,3,1
24/03/2020,85,241,18,5,0
25/03/2020,161,300,26,3,2
26/03/2020,139,355,29,4,5
27/03/2020,127,406,37,1,2
28/03/2020,86,449,40,4,3
29/03/2020,77,481,46,1,0
30/03/2020,71,522,50,10,11
31/03/2020,42,543,54,17,8
01/04/2020,55,567,57,6,17
02/04/2020,53,592,59,4,14
03/04/2020,63,619,60,4,25
04/04/2020,57,639,62,0,14
05/04/2020,42,658,65,9,5
06/04/2020,18,677,66,8,11
07/04/2020,71,700,69,7,46
08/04/2020,47,720,71,6,39
09/04/2020,40,747,73,4,51
10/04/2020,60,773,75,5,16
11/04/2020,33,805,75,3,16
12/04/2020,25,827,75,7,20
13/04/2020,19,853,76,3,6
14/04/2020,27,873,76,12,40
15/04/2020,22,890,77,5,79
16/04/2020,39,903,78,7,68
17/04/2020,106,911,78,5,24
18/04/2020,0,924,78,4,76
19/04/2020,24,934,78,5,16
20/04/2020,25,948,78,7,20
21/04/2020,14,956,78,2,72
22/04/2020,11,965,78,6,132
23/04/2020,32,978,78,5,63
24/04/2020,16,982,78,4,133
25/04/2020,12,991,78,1,81
26/04/2020,21,995,78,3,114
27/04/2020,11,1000,78,2,49
28/04/2020,31,1006,79,3,82
29/04/2020,27,1007,79,0,111
30/04/2020,11,1009,79,1,26
01/05/2020,17,1009,79,1,42
02/05/2020,4,1010,79,2,65
03/05/2020,1,1011,79,2,0
04/05/2020,1,1015,79,1,48
05/05/2020,6,1018,79,1,38
06/05/2020,7,1020,79,1,62
07/05/2020,12,1022,79,1,28
08/05/2020,9,1023,79,0,76
