FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,0,0,0,0,0
01/03/2020,0,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,0,0,0,0,0
04/03/2020,0,0,0,0,0
05/03/2020,0,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,0,0,0,0,0
08/03/2020,0,0,0,0,0
09/03/2020,0,0,0,0,0
10/03/2020,0,0,0,0,0
11/03/2020,0,0,0,0,0
12/03/2020,0,0,0,0,0
13/03/2020,0,0,0,0,0
14/03/2020,1,0,0,0,0
15/03/2020,0,0,0,0,0
16/03/2020,0,0,0,0,0
17/03/2020,0,0,0,0,0
18/03/2020,0,0,0,0,0
19/03/2020,4,0,0,0,0
20/03/2020,0,0,0,0,0
21/03/2020,0,0,0,0,0
22/03/2020,1,0,0,0,0
23/03/2020,0,0,0,0,0
24/03/2020,3,2,1,0,0
25/03/2020,1,2,2,0,0
26/03/2020,7,2,2,0,0
27/03/2020,0,2,2,1,0
28/03/2020,4,2,2,0,0
29/03/2020,4,2,2,0,0
30/03/2020,9,3,3,0,0
31/03/2020,17,6,3,0,0
01/04/2020,4,7,3,0,0
02/04/2020,7,8,3,0,2
03/04/2020,11,8,4,0,0
04/04/2020,10,9,4,1,0
05/04/2020,0,9,4,1,0
06/04/2020,0,9,4,1,0
07/04/2020,1,9,4,0,5
08/04/2020,0,9,4,0,0
09/04/2020,7,9,4,0,5
10/04/2020,2,9,4,0,5
11/04/2020,0,9,4,0,0
12/04/2020,2,9,4,0,3
13/04/2020,1,9,4,0,2
14/04/2020,2,9,4,0,8
15/04/2020,0,9,4,0,11
16/04/2020,0,9,4,0,3
17/04/2020,2,9,4,0,9
18/04/2020,0,9,4,0,6
19/04/2020,0,9,4,0,15
20/04/2020,0,9,4,0,0
21/04/2020,0,9,4,0,3
22/04/2020,0,9,4,0,0
23/04/2020,0,10,4,0,8
24/04/2020,0,10,4,0,14
25/04/2020,0,10,4,0,6
26/04/2020,0,10,4,0,3
27/04/2020,0,10,4,0,3
28/04/2020,1,10,4,0,4
29/04/2020,0,10,4,0,12
30/04/2020,0,10,4,0,12
01/05/2020,0,10,4,0,2
02/05/2020,0,10,4,0,1
03/05/2020,0,10,4,0,1
04/05/2020,0,10,4,0,3
05/05/2020,8,10,4,0,5
06/05/2020,0,10,4,0,0
07/05/2020,0,11,4,0,4
08/05/2020,1,11,4,0,0
