FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,2,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,1,0,0,0,0
01/03/2020,0,0,0,0,0
02/03/2020,5,0,0,0,0
03/03/2020,3,0,0,0,0
04/03/2020,0,0,0,0,0
05/03/2020,3,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,8,0,0,0,0
08/03/2020,1,0,2,0,0
09/03/2020,33,0,2,0,0
10/03/2020,15,14,2,0,0
11/03/2020,21,24,2,0,0
12/03/2020,77,25,4,0,1
13/03/2020,54,25,8,1,1
14/03/2020,69,45,8,2,1
15/03/2020,42,45,8,3,2
16/03/2020,97,95,24,6,0
17/03/2020,237,281,43,10,0
18/03/2020,200,362,54,7,22
19/03/2020,279,476,69,14,10
20/03/2020,319,629,85,12,17
21/03/2020,278,798,106,19,35
22/03/2020,311,977,120,28,28
23/03/2020,405,1197,137,22,23
24/03/2020,480,1457,170,41,73
25/03/2020,548,1823,202,41,95
26/03/2020,644,2214,228,46,115
27/03/2020,659,2648,249,69,162
28/03/2020,623,3160,278,59,167
29/03/2020,387,3411,307,62,119
30/03/2020,410,3629,325,74,157
31/03/2020,636,3951,345,69,231
01/04/2020,508,4207,353,56,239
02/04/2020,520,4472,355,82,261
03/04/2020,457,4685,348,63,262
04/04/2020,417,4905,351,61,310
05/04/2020,367,5041,348,72,202
06/04/2020,465,5180,346,63,178
07/04/2020,477,5322,342,46,277
08/04/2020,460,5523,338,54,254
09/04/2020,584,5674,332,47,264
10/04/2020,441,5817,327,51,251
11/04/2020,575,5957,323,41,253
12/04/2020,510,6077,312,42,144
13/04/2020,552,6175,308,36,112
14/04/2020,517,6306,306,38,255
15/04/2020,683,6449,307,35,204
16/04/2020,523,6518,297,29,199
17/04/2020,390,6831,495,28,179
18/04/2020,0,6981,498,29,159
19/04/2020,137,7080,501,35,104
20/04/2020,170,7174,503,28,63
21/04/2020,190,7264,505,33,185
22/04/2020,369,7397,508,28,163
23/04/2020,182,7506,510,30,166
24/04/2020,298,7555,511,27,90
25/04/2020,232,7653,515,27,175
26/04/2020,182,7703,518,24,64
27/04/2020,185,7777,522,20,51
28/04/2020,101,7854,524,26,125
29/04/2020,195,7957,528,16,121
30/04/2020,108,8010,531,18,117
01/05/2020,172,8054,531,18,127
02/05/2020,118,8085,533,12,43
03/05/2020,51,8123,534,18,44
04/05/2020,95,8153,537,14,35
05/05/2020,91,8246,538,15,101
06/05/2020,105,8300,541,17,113
07/05/2020,91,8357,543,12,82
08/05/2020,91,8394,546,9,86
