FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,1,0,0,0,0
01/03/2020,2,0,0,0,0
02/03/2020,4,0,0,0,0
03/03/2020,5,0,0,0,0
04/03/2020,1,0,0,0,0
05/03/2020,2,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,0,0,0,0,0
08/03/2020,11,0,2,0,2
09/03/2020,13,0,3,0,0
10/03/2020,32,0,5,0,0
11/03/2020,44,39,9,1,0
12/03/2020,79,78,10,4,0
13/03/2020,95,78,10,1,4
14/03/2020,112,78,10,4,0
15/03/2020,166,207,23,7,7
16/03/2020,0,207,23,0,0
17/03/2020,108,277,29,11,3
18/03/2020,126,313,37,14,12
19/03/2020,243,313,37,0,0
20/03/2020,379,635,65,42,11
21/03/2020,396,838,76,28,10
22/03/2020,259,1547,142,33,3
23/03/2020,387,1826,182,71,2
24/03/2020,315,2162,210,47,18
25/03/2020,603,2162,243,53,24
26/03/2020,551,2707,273,51,58
27/03/2020,578,2977,289,81,44
28/03/2020,734,3018,299,91,39
29/03/2020,612,3134,302,83,16
30/03/2020,566,3225,344,86,44
31/03/2020,623,3230,353,66,101
01/04/2020,635,3230,355,80,97
02/04/2020,841,3168,355,62,85
03/04/2020,801,3133,360,73,78
04/04/2020,707,2950,357,66,492
05/04/2020,571,2901,354,77,110
06/04/2020,475,2908,360,45,94
07/04/2020,711,2731,354,78,204
08/04/2020,701,2575,342,67,209
09/04/2020,574,2359,329,109,216
10/04/2020,393,2198,316,52,223
11/04/2020,242,6838,316,60,160
12/04/2020,356,7782,475,83,167
13/04/2020,275,7830,486,88,411
14/04/2020,351,7896,495,41,55
15/04/2020,471,7987,503,41,380
16/04/2020,846,8018,511,56,222
17/04/2020,352,8093,514,61,238
18/04/2020,0,8137,518,50,125
19/04/2020,137,8173,531,58,215
20/04/2020,211,8199,534,54,64
21/04/2020,117,8243,537,65,95
22/04/2020,75,8304,546,48,240
23/04/2020,237,8342,553,67,205
24/04/2020,144,8385,559,37,94
25/04/2020,100,8417,565,38,320
26/04/2020,55,8444,579,35,86
27/04/2020,42,8464,584,31,24
28/04/2020,79,8523,588,40,76
29/04/2020,47,8567,592,27,130
30/04/2020,78,8618,596,35,103
01/05/2020,57,8645,601,36,87
02/05/2020,50,8676,604,31,70
03/05/2020,33,8698,606,25,22
04/05/2020,30,8725,609,26,30
05/05/2020,64,8765,612,31,38
06/05/2020,40,8796,613,30,33
07/05/2020,53,8828,617,36,86
08/05/2020,41,8867,621,25,81
