FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,1,0,0,0,0
26/02/2020,1,0,0,0,0
27/02/2020,1,0,0,0,0
28/02/2020,2,0,0,0,0
29/02/2020,1,0,0,0,0
01/03/2020,9,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,0,0,0,0,0
04/03/2020,9,0,0,0,0
05/03/2020,0,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,25,0,0,0,0
08/03/2020,10,16,5,2,2
09/03/2020,23,31,7,0,3
10/03/2020,41,50,8,1,1
11/03/2020,79,74,16,3,6
12/03/2020,147,137,22,3,7
13/03/2020,209,200,29,4,13
14/03/2020,184,287,40,2,7
15/03/2020,275,375,52,5,6
16/03/2020,397,525,73,3,13
17/03/2020,452,679,101,10,21
18/03/2020,836,825,118,20,24
19/03/2020,568,994,175,40,44
20/03/2020,933,1681,271,29,45
21/03/2020,843,1917,290,21,55
22/03/2020,701,2158,308,56,155
23/03/2020,2117,3209,471,94,229
24/03/2020,2073,4349,713,92,330
25/03/2020,1655,5371,764,116,47
26/03/2020,1348,6714,972,184,474
27/03/2020,1323,7954,1036,142,235
28/03/2020,762,8447,1080,77,249
29/03/2020,1079,9126,1150,79,202
30/03/2020,2416,9925,1218,233,465
31/03/2020,1471,11446,1345,242,444
01/04/2020,1813,12398,1415,171,606
02/04/2020,1656,13101,1482,155,193
03/04/2020,1274,14251,1569,144,713
04/04/2020,1298,14798,1653,125,560
05/04/2020,792,15258,1685,114,225
06/04/2020,1499,15643,1740,162,776
07/04/2020,1324,16235,1829,133,1170
08/04/2020,1396,16970,1946,205,694
09/04/2020,781,17780,1966,120,691
10/04/2020,1160,18194,1989,90,562
11/04/2020,1043,18772,2018,98,343
12/04/2020,699,18963,2084,130,430
13/04/2020,471,19224,2102,96,347
14/04/2020,1308,20264,2189,252,1093
15/04/2020,849,20553,2252,165,481
16/04/2020,962,21242,2305,134,826
17/04/2020,1627,22013,2349,127,488
18/04/2020,505,22235,2395,54,416
19/04/2020,1228,22375,2409,76,243
20/04/2020,1436,22796,2437,143,512
21/04/2020,690,23295,2460,95,643
22/04/2020,1090,23647,2478,96,388
23/04/2020,652,24130,2569,50,661
24/04/2020,717,24130,2576,105,615
25/04/2020,550,25665,2583,68,253
26/04/2020,944,25799,2724,133,891
27/04/2020,403,26230,2750,109,422
28/04/2020,496,26546,2768,97,741
29/04/2020,262,26763,2784,70,555
30/04/2020,391,26932,2795,86,25
01/05/2020,543,27049,2811,76,273
02/05/2020,384,27257,2844,48,419
03/05/2020,132,27321,2847,35,1566
04/05/2020,405,27745,2856,50,655
05/05/2020,153,28085,2871,75,328
06/05/2020,266,28248,2891,49,350
07/05/2020,543,28608,2949,77,433
08/05/2020,202,28687,2983,36,399
