FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,4,0,0,0,0
01/03/2020,2,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,0,0,0,0,0
04/03/2020,0,0,0,0,0
05/03/2020,0,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,0,0,0,0,0
08/03/2020,1,0,0,0,1
09/03/2020,1,0,0,0,0
10/03/2020,1,2,1,1,0
11/03/2020,10,2,1,0,2
12/03/2020,20,3,1,0,0
13/03/2020,27,3,1,1,1
14/03/2020,29,8,1,0,0
15/03/2020,16,9,1,0,0
16/03/2020,42,18,2,1,1
17/03/2020,41,27,3,3,1
18/03/2020,47,36,3,2,0
19/03/2020,56,44,4,2,1
20/03/2020,57,65,6,2,1
21/03/2020,30,87,8,2,0
22/03/2020,109,131,13,4,0
23/03/2020,143,161,20,8,2
24/03/2020,106,209,28,13,0
25/03/2020,227,241,34,19,16
26/03/2020,262,277,41,11,9
27/03/2020,163,312,40,19,16
28/03/2020,62,313,41,12,2
29/03/2020,104,353,43,6,9
30/03/2020,68,371,51,27,31
31/03/2020,51,372,58,19,22
01/04/2020,158,412,62,29,26
02/04/2020,56,415,64,19,25
03/04/2020,86,453,64,8,41
04/04/2020,68,417,66,10,10
05/04/2020,21,453,66,10,8
06/04/2020,48,686,70,30,59
07/04/2020,68,898,98,13,46
08/04/2020,89,958,99,12,53
09/04/2020,59,1003,101,5,16
10/04/2020,154,1052,104,15,65
11/04/2020,94,1074,106,9,19
12/04/2020,78,1096,107,9,30
13/04/2020,26,1114,107,13,67
14/04/2020,78,1155,107,8,37
15/04/2020,0,1186,107,17,34
16/04/2020,75,1212,107,13,58
17/04/2020,7,1240,107,8,29
18/04/2020,10,1278,107,4,31
19/04/2020,19,1306,107,5,91
20/04/2020,0,1327,107,8,63
21/04/2020,0,1349,107,7,130
22/04/2020,23,1375,107,3,186
23/04/2020,3,1413,107,4,121
24/04/2020,0,1447,107,5,152
25/04/2020,18,1480,107,6,72
26/04/2020,13,1490,107,6,70
27/04/2020,2,1505,107,5,81
28/04/2020,13,1526,107,7,64
29/04/2020,21,1550,108,6,90
30/04/2020,26,1565,108,5,73
01/05/2020,13,1592,108,7,57
02/05/2020,20,1603,108,2,55
03/05/2020,5,1618,108,0,18
04/05/2020,3,1629,108,2,56
05/05/2020,13,1650,108,1,43
06/05/2020,12,1664,108,4,76
07/05/2020,23,1678,109,5,47
08/05/2020,7,1695,109,5,42
