FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,0,0,0,0,0
01/03/2020,0,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,1,0,0,0,0
04/03/2020,0,0,0,0,0
05/03/2020,2,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,2,0,0,0,0
08/03/2020,1,0,2,0,0
09/03/2020,16,0,2,0,0
10/03/2020,13,7,2,0,0
11/03/2020,0,7,2,0,0
12/03/2020,50,15,2,0,0
13/03/2020,30,32,7,0,3
14/03/2020,80,32,8,2,1
15/03/2020,50,49,9,0,0
16/03/2020,47,49,9,1,3
17/03/2020,49,63,12,0,0
18/03/2020,112,100,15,1,0
19/03/2020,125,138,19,1,1
20/03/2020,161,168,29,4,1
21/03/2020,176,227,35,3,10
22/03/2020,293,270,47,6,3
23/03/2020,207,338,55,2,0
24/03/2020,238,412,69,7,6
25/03/2020,262,503,86,5,22
26/03/2020,407,557,98,11,20
27/03/2020,450,906,112,4,28
28/03/2020,367,1043,123,13,58
29/03/2020,584,1147,134,6,15
30/03/2020,316,1250,149,18,19
31/03/2020,393,1338,158,19,72
01/04/2020,410,1447,165,17,74
02/04/2020,377,1630,178,18,102
03/04/2020,406,1767,178,21,96
04/04/2020,319,1831,170,15,56
05/04/2020,207,1916,170,16,23
06/04/2020,180,1968,162,14,78
07/04/2020,207,2014,158,9,112
08/04/2020,220,2094,155,18,110
09/04/2020,188,2165,151,12,87
10/04/2020,230,2215,144,18,85
11/04/2020,160,2306,140,13,61
12/04/2020,158,2344,136,10,43
13/04/2020,103,2403,133,6,54
14/04/2020,111,2471,128,9,58
15/04/2020,165,2494,123,11,85
16/04/2020,140,2535,117,10,73
17/04/2020,71,2554,115,14,51
18/04/2020,101,2590,112,12,29
19/04/2020,114,2609,108,6,12
20/04/2020,169,2652,101,8,40
21/04/2020,166,2674,96,8,37
22/04/2020,171,2694,92,7,51
23/04/2020,127,2707,87,7,54
24/04/2020,184,2722,90,6,53
25/04/2020,60,2735,85,6,20
26/04/2020,62,2746,83,11,13
27/04/2020,90,2758,73,7,25
28/04/2020,0,2736,308,135,3552
29/04/2020,22,2747,310,0,180
30/04/2020,151,2759,313,8,243
01/05/2020,54,2769,313,2,165
02/05/2020,65,2774,315,6,94
03/05/2020,44,2782,315,6,159
04/05/2020,40,2792,317,4,327
05/05/2020,46,2811,319,9,241
06/05/2020,37,2833,320,4,157
07/05/2020,50,2857,321,2,179
08/05/2020,32,2876,323,3,87
