FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,1,0,0,0,0
29/02/2020,0,0,0,0,0
01/03/2020,0,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,3,0,0,0,0
04/03/2020,1,0,0,0,0
05/03/2020,0,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,2,0,0,0,0
08/03/2020,3,0,1,0,2
09/03/2020,2,0,1,0,1
10/03/2020,3,8,1,0,0
11/03/2020,6,8,2,1,0
12/03/2020,6,9,2,0,0
13/03/2020,0,9,2,0,0
14/03/2020,14,9,2,0,0
15/03/2020,31,21,4,0,0
16/03/2020,19,26,4,0,0
17/03/2020,20,29,4,0,3
18/03/2020,57,31,7,1,2
19/03/2020,34,48,10,0,4
20/03/2020,43,60,14,2,1
21/03/2020,85,79,14,0,6
22/03/2020,69,87,27,6,1
23/03/2020,78,127,35,0,1
24/03/2020,84,164,40,3,9
25/03/2020,98,205,43,4,11
26/03/2020,95,237,46,5,28
27/03/2020,107,283,59,4,13
28/03/2020,96,345,71,3,2
29/03/2020,42,353,80,8,18
30/03/2020,69,399,85,5,11
31/03/2020,62,468,95,4,59
01/04/2020,73,517,105,12,69
02/04/2020,53,587,112,11,136
03/04/2020,14,634,114,2,47
04/04/2020,22,664,120,4,39
05/04/2020,27,683,121,6,70
06/04/2020,49,705,124,3,6
07/04/2020,43,731,129,5,79
08/04/2020,36,751,132,0,80
09/04/2020,40,777,136,8,41
10/04/2020,19,778,137,5,20
11/04/2020,27,805,142,10,91
12/04/2020,16,811,143,5,14
13/04/2020,21,826,145,1,9
14/04/2020,35,857,149,7,10
15/04/2020,31,872,152,6,37
16/04/2020,31,905,152,3,20
17/04/2020,56,937,157,14,20
18/04/2020,16,955,160,7,35
19/04/2020,9,963,161,2,12
20/04/2020,18,986,161,4,0
21/04/2020,21,1005,166,3,12
22/04/2020,19,1022,167,4,30
23/04/2020,14,1040,166,4,34
24/04/2020,26,1058,166,2,21
25/04/2020,7,1062,166,1,21
26/04/2020,5,1062,166,4,13
27/04/2020,11,1074,166,2,30
28/04/2020,9,1079,166,4,30
29/04/2020,4,1082,167,3,23
30/04/2020,11,1090,167,5,26
01/05/2020,8,1094,167,4,23
02/05/2020,6,1099,167,0,16
03/05/2020,0,1102,167,0,10
04/05/2020,2,1110,168,1,13
05/05/2020,11,1122,168,1,14
06/05/2020,8,1132,168,2,24
07/05/2020,6,1135,168,1,29
08/05/2020,9,1141,169,5,21
