FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,0,0,0,0,0
01/03/2020,0,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,0,0,0,0,0
04/03/2020,0,0,0,0,0
05/03/2020,0,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,1,0,0,0,0
08/03/2020,3,0,0,0,0
09/03/2020,5,0,0,0,0
10/03/2020,2,4,0,0,0
11/03/2020,15,5,1,0,0
12/03/2020,9,8,2,0,0
13/03/2020,12,8,2,0,0
14/03/2020,24,13,2,0,0
15/03/2020,6,13,2,0,1
16/03/2020,20,18,3,0,0
17/03/2020,25,22,4,0,0
18/03/2020,45,36,6,0,0
19/03/2020,37,47,11,0,0
20/03/2020,36,61,14,1,0
21/03/2020,56,78,16,0,0
22/03/2020,49,80,23,1,0
23/03/2020,40,99,26,1,0
24/03/2020,92,127,33,2,3
25/03/2020,119,172,36,3,5
26/03/2020,118,209,53,7,3
27/03/2020,88,231,58,2,0
28/03/2020,70,260,58,3,4
29/03/2020,67,265,58,5,1
30/03/2020,35,283,59,9,3
31/03/2020,67,304,59,3,23
01/04/2020,43,389,68,5,2
02/04/2020,61,405,72,4,45
03/04/2020,43,434,79,5,23
04/04/2020,47,447,80,8,17
05/04/2020,24,468,81,9,26
06/04/2020,0,500,84,10,37
07/04/2020,38,515,86,7,10
08/04/2020,25,533,87,3,16
09/04/2020,16,533,88,2,36
10/04/2020,33,533,88,4,20
11/04/2020,9,537,91,3,69
12/04/2020,7,543,94,4,9
13/04/2020,6,566,96,5,123
14/04/2020,7,574,97,3,37
15/04/2020,16,575,97,2,3
16/04/2020,8,585,99,1,29
17/04/2020,6,611,102,3,93
18/04/2020,8,612,102,1,14
19/04/2020,2,612,103,1,10
20/04/2020,5,614,104,3,40
21/04/2020,10,622,104,3,59
22/04/2020,5,624,104,1,5
23/04/2020,8,625,105,1,25
24/04/2020,0,625,105,1,51
25/04/2020,6,627,106,1,78
26/04/2020,0,627,106,1,70
27/04/2020,1,629,106,2,123
28/04/2020,5,635,106,0,40
29/04/2020,6,637,108,0,49
30/04/2020,2,638,109,2,27
01/05/2020,3,639,110,0,22
02/05/2020,1,641,110,2,9
03/05/2020,0,645,110,0,17
04/05/2020,4,650,111,2,104
05/05/2020,2,650,111,0,84
06/05/2020,3,652,111,1,62
07/05/2020,3,659,113,0,135
08/05/2020,2,662,113,1,105
