FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,1,0,0,0,0
26/02/2020,4,0,0,0,0
27/02/2020,4,0,0,0,0
28/02/2020,10,0,0,0,0
29/02/2020,7,0,0,0,0
01/03/2020,25,0,0,0,0
02/03/2020,42,0,0,0,0
03/03/2020,46,0,0,0,0
04/03/2020,54,0,0,0,0
05/03/2020,112,0,0,0,0
06/03/2020,203,0,0,0,0
07/03/2020,221,0,0,0,0
08/03/2020,263,0,53,16,0
09/03/2020,503,0,77,5,109
10/03/2020,703,0,102,10,48
11/03/2020,724,0,135,25,0
12/03/2020,782,1304,180,25,0
13/03/2020,940,1518,180,5,317
14/03/2020,899,2337,253,127,0
15/03/2020,812,2337,253,0,0
16/03/2020,1259,3710,340,142,477
17/03/2020,1946,3778,491,35,0
18/03/2020,1749,5168,590,108,0
19/03/2020,2043,6338,678,130,245
20/03/2020,2323,7388,767,176,356
21/03/2020,1670,8441,834,217,357
22/03/2020,1502,9561,942,242,164
23/03/2020,2666,10443,1050,272,228
24/03/2020,2888,11153,1150,290,740
25/03/2020,2940,12440,1221,265,851
26/03/2020,3366,13580,1312,322,1162
27/03/2020,2357,14211,1404,345,1282
28/03/2020,1019,14454,1429,325,1165
29/03/2020,872,14917,1460,310,810
30/03/2020,2544,15140,1514,211,1029
31/03/2020,1799,15227,1514,262,1497
01/04/2020,1772,15227,1528,310,1573
02/04/2020,1815,15050,1506,308,1450
03/04/2020,1718,14741,1498,240,1512
04/04/2020,883,14551,1499,218,1181
05/04/2020,520,14501,1510,195,779
06/04/2020,1551,13950,1494,235,1088
07/04/2020,1377,13289,1450,215,1426
08/04/2020,1411,12853,1433,214,1285
09/04/2020,938,12432,1399,172,1293
10/04/2020,850,11894,1376,112,1249
11/04/2020,533,11424,1332,194,1020
12/04/2020,337,11233,1327,145,702
13/04/2020,970,10753,1299,145,862
14/04/2020,1072,10116,1244,156,1186
15/04/2020,893,9653,1206,153,1058
16/04/2020,834,9141,1154,130,945
17/04/2020,805,8597,1094,125,1039
18/04/2020,484,8291,1123,107,838
19/04/2020,206,8191,1111,112,449
20/04/2020,607,7930,1076,109,515
21/04/2020,589,7464,1024,117,755
22/04/2020,679,7077,981,107,613
23/04/2020,423,6601,949,81,567
24/04/2020,509,6183,892,83,690
25/04/2020,230,5892,873,74,465
26/04/2020,132,39472,3309,64,198
27/04/2020,580,39634,3338,62,276
28/04/2020,466,39850,3355,57,473
29/04/2020,339,40076,3377,71,393
30/04/2020,260,40293,3392,46,447
01/05/2020,114,40457,3404,70,376
02/05/2020,117,40597,3421,40,174
03/05/2020,109,40741,3431,44,104
04/05/2020,310,40851,3442,44,194
05/05/2020,295,41031,3465,46,329
06/05/2020,244,41159,3485,38,339
07/05/2020,180,41304,3493,48,305
08/05/2020,73,41436,3508,46,252
