FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,0,0,0,0,0
01/03/2020,0,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,0,0,0,0,0
04/03/2020,0,0,0,0,0
05/03/2020,0,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,0,0,0,0,0
08/03/2020,0,0,0,0,0
09/03/2020,0,0,0,0,0
10/03/2020,0,0,0,0,0
11/03/2020,0,0,0,0,0
12/03/2020,2,3,0,0,0
13/03/2020,1,3,0,0,0
14/03/2020,5,4,0,0,0
15/03/2020,0,4,0,0,0
16/03/2020,9,4,0,0,0
17/03/2020,3,4,0,0,0
18/03/2020,3,4,0,0,0
19/03/2020,1,5,1,0,0
20/03/2020,1,8,1,0,0
21/03/2020,0,12,1,0,0
22/03/2020,3,12,1,0,0
23/03/2020,0,12,1,0,0
24/03/2020,10,14,2,0,0
25/03/2020,1,16,2,1,0
26/03/2020,3,18,2,0,0
27/03/2020,3,22,2,0,0
28/03/2020,3,24,2,0,0
29/03/2020,3,27,3,0,0
30/03/2020,3,27,3,0,0
31/03/2020,8,32,3,0,0
01/04/2020,0,32,3,0,0
02/04/2020,8,34,3,1,4
03/04/2020,9,37,3,0,5
04/04/2020,4,38,3,0,2
05/04/2020,3,38,3,0,0
06/04/2020,6,40,3,0,0
07/04/2020,1,40,3,0,1
08/04/2020,0,40,3,0,4
09/04/2020,2,41,3,0,1
10/04/2020,3,43,3,0,1
11/04/2020,0,43,3,0,0
12/04/2020,3,43,3,0,0
13/04/2020,0,43,3,0,0
14/04/2020,1,43,3,0,6
15/04/2020,1,43,3,0,3
16/04/2020,1,44,3,0,3
17/04/2020,0,44,3,0,0
18/04/2020,0,44,3,0,14
19/04/2020,0,44,3,0,2
20/04/2020,1,44,3,0,0
21/04/2020,0,44,3,0,4
22/04/2020,1,44,3,0,5
23/04/2020,1,44,3,0,6
24/04/2020,1,44,3,0,16
25/04/2020,2,44,3,0,4
26/04/2020,0,44,3,0,6
27/04/2020,4,44,3,0,5
28/04/2020,0,44,3,0,3
29/04/2020,0,44,3,0,1
30/04/2020,1,44,3,0,0
01/05/2020,0,44,3,0,0
02/05/2020,2,44,3,0,2
03/05/2020,2,44,3,0,3
04/05/2020,0,44,3,0,0
05/05/2020,0,44,3,0,3
06/05/2020,0,44,3,0,4
07/05/2020,0,44,3,0,0
08/05/2020,0,44,3,0,0
