FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,1,0,0,0,0
01/03/2020,0,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,2,0,0,0,0
04/03/2020,0,0,0,0,0
05/03/2020,0,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,0,0,0,0,0
08/03/2020,0,0,1,0,0
09/03/2020,9,0,2,0,0
10/03/2020,34,10,3,0,0
11/03/2020,27,17,3,0,0
12/03/2020,57,28,4,0,0
13/03/2020,16,28,4,0,0
14/03/2020,37,34,4,0,0
15/03/2020,91,58,5,1,0
16/03/2020,39,72,10,1,0
17/03/2020,73,93,10,1,0
18/03/2020,96,132,11,1,0
19/03/2020,72,172,19,1,1
20/03/2020,110,222,25,4,0
21/03/2020,130,288,30,5,3
22/03/2020,92,339,40,10,3
23/03/2020,128,405,45,7,4
24/03/2020,183,506,51,2,12
25/03/2020,214,649,54,16,12
26/03/2020,230,732,75,9,35
27/03/2020,188,827,84,12,28
28/03/2020,182,896,90,14,27
29/03/2020,135,955,96,18,36
30/03/2020,159,1035,99,11,31
31/03/2020,192,1120,104,17,44
01/04/2020,185,1181,108,11,42
02/04/2020,154,1284,119,10,16
03/04/2020,136,1341,120,20,17
04/04/2020,101,1399,123,7,23
05/04/2020,158,1432,124,9,46
06/04/2020,124,1488,124,15,41
07/04/2020,112,1526,124,4,29
08/04/2020,108,1526,124,8,12
09/04/2020,173,1620,124,4,98
10/04/2020,69,1641,124,9,43
11/04/2020,152,1663,124,5,47
12/04/2020,123,1693,124,7,45
13/04/2020,58,1705,124,10,35
14/04/2020,96,1731,124,3,78
15/04/2020,102,1752,124,9,37
16/04/2020,85,1781,124,77,47
17/04/2020,0,1829,127,16,62
18/04/2020,64,1843,127,15,38
19/04/2020,36,1856,128,16,131
20/04/2020,26,1877,128,12,67
21/04/2020,56,1894,128,4,126
22/04/2020,46,1907,129,8,129
23/04/2020,4,1915,129,8,107
24/04/2020,46,1937,129,12,185
25/04/2020,85,1942,129,2,98
26/04/2020,21,1942,130,1,83
27/04/2020,26,1945,130,0,60
28/04/2020,35,1951,130,16,104
29/04/2020,21,1965,132,3,31
30/04/2020,33,1977,132,7,72
01/05/2020,40,1979,132,2,96
02/05/2020,14,1986,133,2,130
03/05/2020,16,1990,133,4,83
04/05/2020,18,1995,134,5,68
05/05/2020,30,2005,135,5,66
06/05/2020,17,2015,135,4,104
07/05/2020,23,2015,135,4,95
08/05/2020,33,2021,135,3,90
