FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,2,0,0,0,0
29/02/2020,1,0,0,0,0
01/03/2020,6,0,0,0,0
02/03/2020,4,0,0,0,0
03/03/2020,4,0,0,0,0
04/03/2020,0,0,0,0,0
05/03/2020,28,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,25,0,0,0,0
08/03/2020,79,0,5,6,2
09/03/2020,46,0,5,0,0
10/03/2020,30,102,15,0,0
11/03/2020,121,146,18,5,0
12/03/2020,71,179,20,3,1
13/03/2020,104,179,22,0,3
14/03/2020,109,262,29,9,0
15/03/2020,0,262,29,0,0
16/03/2020,135,309,33,13,6
17/03/2020,208,353,37,4,3
18/03/2020,217,455,44,13,4
19/03/2020,275,550,53,18,3
20/03/2020,260,654,71,14,144
21/03/2020,372,988,81,12,51
22/03/2020,324,1252,92,23,67
23/03/2020,307,1425,106,13,61
24/03/2020,543,1577,119,22,122
25/03/2020,675,1907,137,25,155
26/03/2020,655,2270,154,27,193
27/03/2020,535,2612,176,34,209
28/03/2020,604,3106,271,24,480
29/03/2020,317,3427,293,32,143
30/03/2020,263,3594,307,28,150
31/03/2020,518,3806,324,44,369
01/04/2020,479,4087,344,43,325
02/04/2020,510,4283,363,32,319
03/04/2020,360,4522,377,33,289
04/04/2020,441,4666,404,38,307
05/04/2020,182,4794,410,33,163
06/04/2020,164,4856,417,38,160
07/04/2020,418,4982,430,49,423
08/04/2020,348,5130,433,54,363
09/04/2020,252,5290,442,40,166
10/04/2020,321,5402,453,36,61
11/04/2020,201,5547,459,39,126
12/04/2020,160,5622,464,27,159
13/04/2020,171,5679,470,28,167
14/04/2020,169,5750,471,43,235
15/04/2020,189,5863,478,54,385
16/04/2020,200,5939,484,36,331
17/04/2020,150,6030,490,28,412
18/04/2020,178,6086,499,42,416
19/04/2020,58,6109,501,19,152
20/04/2020,54,6141,507,22,153
21/04/2020,131,6201,513,21,374
22/04/2020,120,6260,516,43,485
23/04/2020,110,6315,518,26,323
24/04/2020,162,6375,525,19,482
25/04/2020,89,6426,533,18,661
26/04/2020,58,6457,538,11,238
27/04/2020,51,6482,539,14,134
28/04/2020,55,6522,540,19,500
29/04/2020,82,6561,541,22,462
30/04/2020,123,6607,544,16,444
01/05/2020,63,6659,551,9,425
02/05/2020,51,6692,553,8,219
03/05/2020,14,6719,554,12,131
04/05/2020,13,6736,556,12,96
05/05/2020,43,6781,559,11,498
06/05/2020,33,6797,561,19,321
07/05/2020,60,6818,566,7,470
08/05/2020,10,6865,568,13,445
