FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,0,0,0,0,0
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,0,0,0,0,0
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,0,0,0,0,0
01/03/2020,1,0,0,0,0
02/03/2020,1,0,0,0,0
03/03/2020,5,0,0,0,0
04/03/2020,10,0,0,0,0
05/03/2020,12,0,0,0,0
06/03/2020,18,0,0,0,0
07/03/2020,23,0,0,0,0
08/03/2020,32,0,1,0,0
09/03/2020,53,0,1,1,0
10/03/2020,30,13,1,1,1
11/03/2020,35,21,1,0,0
12/03/2020,39,27,2,1,0
13/03/2020,33,38,2,0,0
14/03/2020,8,58,7,0,0
15/03/2020,12,64,13,1,1
16/03/2020,43,82,13,1,0
17/03/2020,64,99,13,0,0
18/03/2020,49,121,15,0,0
19/03/2020,29,122,15,2,11
20/03/2020,67,128,17,8,5
21/03/2020,90,134,17,3,0
22/03/2020,93,166,22,4,0
23/03/2020,55,206,24,8,6
24/03/2020,126,254,33,7,19
25/03/2020,67,316,36,6,5
26/03/2020,241,388,43,12,14
27/03/2020,200,458,43,10,302
28/03/2020,193,497,43,3,33
29/03/2020,104,517,43,3,34
30/03/2020,77,575,51,14,65
31/03/2020,150,619,54,5,73
01/04/2020,123,660,57,11,72
02/04/2020,141,738,64,8,104
03/04/2020,181,805,64,19,98
04/04/2020,187,855,66,6,61
05/04/2020,127,888,66,7,60
06/04/2020,127,918,66,19,30
07/04/2020,105,955,68,17,67
08/04/2020,75,997,69,5,111
09/04/2020,50,1047,71,14,84
10/04/2020,147,1082,73,11,81
11/04/2020,56,1122,73,12,83
12/04/2020,79,1141,73,4,38
13/04/2020,62,1152,74,11,61
14/04/2020,37,1182,75,12,66
15/04/2020,82,1207,75,11,69
16/04/2020,8,1226,76,5,75
17/04/2020,36,1249,78,10,48
18/04/2020,53,1268,79,5,39
19/04/2020,28,1282,79,8,17
20/04/2020,20,1297,81,9,33
21/04/2020,20,1318,81,4,33
22/04/2020,37,1331,82,5,38
23/04/2020,49,1344,82,4,27
24/04/2020,31,1360,83,4,35
25/04/2020,40,1380,84,4,38
26/04/2020,31,1392,85,5,12
27/04/2020,5,1400,87,6,15
28/04/2020,13,1413,87,4,27
29/04/2020,8,1424,88,2,68
30/04/2020,18,1433,88,1,61
01/05/2020,11,1439,88,1,59
02/05/2020,5,1446,88,1,18
03/05/2020,9,1449,88,0,15
04/05/2020,6,1452,90,1,33
05/05/2020,13,1458,91,1,51
06/05/2020,6,1463,91,1,61
07/05/2020,6,1469,91,4,69
08/05/2020,8,1473,91,2,55
