FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
20/02/2020,0,26,0,0,0
21/02/2020,0,30,1,0,0
22/02/2020,0,33,1,0,0
23/02/2020,0,38,2,0,0
24/02/2020,0,49,2,0,0
25/02/2020,1,58,2,0,0
26/02/2020,1,63,3,0,0
27/02/2020,6,73,3,0,0
28/02/2020,2,78,3,0,0
29/02/2020,5,85,3,0,0
01/03/2020,0,88,3,0,0
02/03/2020,0,93,3,0,0
03/03/2020,4,105,5,0,0
04/03/2020,0,117,6,0,0
05/03/2020,11,130,8,0,0
06/03/2020,0,138,8,0,0
07/03/2020,7,146,9,0,0
08/03/2020,0,153,9,1,1
09/03/2020,13,171,10,0,0
10/03/2020,15,200,12,0,0
11/03/2020,11,232,15,0,0
12/03/2020,18,271,22,0,1
13/03/2020,36,307,29,3,0
14/03/2020,279,339,37,1,0
15/03/2020,0,390,47,0,0
16/03/2020,132,456,52,8,10
17/03/2020,185,530,65,9,4
18/03/2020,195,647,85,2,3
19/03/2020,184,777,101,9,1
20/03/2020,258,947,129,17,5
21/03/2020,241,1136,152,19,5
22/03/2020,297,1311,181,25,6
23/03/2020,266,1562,222,21,1
24/03/2020,449,1842,255,28,7
25/03/2020,584,2097,289,24,13
26/03/2020,332,2357,325,31,16
27/03/2020,502,2606,348,36,19
28/03/2020,750,2773,375,33,69
29/03/2020,326,2914,393,43,24
30/03/2020,398,3111,416,29,15
31/03/2020,414,3253,434,56,40
01/04/2020,386,3389,449,48,192
02/04/2020,316,3492,460,68,160
03/04/2020,277,3560,470,60,103
04/04/2020,283,3620,478,42,117
05/04/2020,150,3668,487,24,118
06/04/2020,109,3698,492,35,173
07/04/2020,212,3713,496,52,241
08/04/2020,309,3815,541,43,428
09/04/2020,367,3987,561,29,313
10/04/2020,247,4132,565,22,204
11/04/2020,263,4149,567,20,335
12/04/2020,219,4269,576,38,179
13/04/2020,153,4397,581,31,266
14/04/2020,211,4465,588,38,291
15/04/2020,191,4524,625,27,342
16/04/2020,0,4605,632,27,322
17/04/2020,98,4708,636,43,282
18/04/2020,73,4781,643,23,241
19/04/2020,51,4827,646,14,82
20/04/2020,42,4866,648,10,90
21/04/2020,75,4896,649,17,292
22/04/2020,44,4917,650,18,377
23/04/2020,70,4945,651,23,421
24/04/2020,127,4978,653,25,224
25/04/2020,94,5013,654,14,210
26/04/2020,20,5032,656,3,74
27/04/2020,24,5046,659,11,106
28/04/2020,32,5072,662,18,176
29/04/2020,95,5096,663,18,287
30/04/2020,16,5126,694,9,192
01/05/2020,64,5153,695,13,209
02/05/2020,25,5181,698,6,160
03/05/2020,0,5204,700,5,59
04/05/2020,64,5214,701,10,149
05/05/2020,37,5225,701,12,92
06/05/2020,55,5252,704,12,263
07/05/2020,27,5287,706,6,171
08/05/2020,42,5317,709,6,615
