CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,20-02-2020,0,0,0,0,0
AN,21-02-2020,0,0,0,0,0
AN,22-02-2020,0,0,0,0,0
AN,23-02-2020,0,0,0,0,0
AN,24-02-2020,0,0,0,0,0
AN,25-02-2020,0,0,0,0,0
AN,26-02-2020,1,0,0,0,0
AN,27-02-2020,5,0,0,0,0
AN,28-02-2020,2,0,0,0,0
AN,29-02-2020,4,0,0,0,0
AN,01-03-2020,0,0,0,0,0
AN,02-03-2020,0,0,0,0,0
AN,03-03-2020,0,0,0,0,0
AN,04-03-2020,0,0,0,0,0
AN,05-03-2020,9,0,0,0,0
AN,06-03-2020,6,0,0,0,0
AN,07-03-2020,7,0,0,0,0
AN,08-03-2020,20,0,1,0,0
AN,09-03-2020,17,0,1,0,0
AN,10-03-2020,19,32,3,0,0
AN,11-03-2020,25,50,4,0,0
AN,12-03-2020,104,92,8,0,0
AN,13-03-2020,50,92,8,2,0
AN,14-03-2020,168,92,8,4,0
AN,15-03-2020,117,197,11,1,0
AN,16-03-2020,129,229,13,4,0
AN,17-03-2020,176,319,21,8,0
AN,18-03-2020,149,384,25,4,0
AN,19-03-2020,279,501,38,7,0
AN,20-03-2020,228,605,53,10,0
AN,21-03-2020,210,724,55,7,0
AN,22-03-2020,236,865,77,11,0
AN,23-03-2020,509,1132,102,29,0
AN,24-03-2020,538,1433,116,26,0
AN,25-03-2020,396,1626,134,21,0
AN,26-03-2020,386,1843,148,10,0
AN,27-03-2020,481,2106,172,31,0
AN,28-03-2020,405,2294,201,32,0
AN,29-03-2020,722,2671,216,29,0
AN,30-03-2020,411,2867,235,12,0
AN,31-03-2020,570,3147,260,60,0
AN,01-04-2020,578,3444,280,35,0
AN,02-04-2020,396,3673,338,33,0
AN,03-04-2020,494,3896,364,50,0
AN,04-04-2020,432,4107,474,44,0
AN,05-04-2020,280,4227,489,21,0
AN,06-04-2020,184,4335,499,37,0
AN,07-04-2020,230,4463,520,77,0
AN,08-04-2020,261,4599,538,47,0
AN,09-04-2020,248,4715,582,39,0
AN,10-04-2020,200,4808,602,46,0
AN,11-04-2020,294,4950,619,62,0
AN,12-04-2020,86,4993,621,16,0
AN,13-04-2020,107,5054,631,21,0
AN,14-04-2020,223,5147,665,29,0
AN,15-04-2020,165,5226,671,47,0
AN,16-04-2020,78,5298,675,28,0
AN,17-04-2020,99,5341,677,27,0
AN,18-04-2020,164,5424,687,26,0
AN,19-04-2020,93,5473,690,20,0
AN,20-04-2020,104,5509,692,4,0
AN,21-04-2020,130,5565,696,33,0
AN,22-04-2020,133,5616,702,29,0
AN,23-04-2020,128,5675,714,28,0
AN,24-04-2020,159,5715,716,24,0
AN,25-04-2020,67,5747,716,14,0
AN,26-04-2020,75,5767,720,12,0
AN,27-04-2020,49,5792,721,11,0
AN,28-04-2020,81,5831,721,20,0
AN,29-04-2020,32,5873,721,19,0
AN,30-04-2020,112,5935,729,31,0
AN,01-05-2020,44,5961,735,15,0
AN,02-05-2020,34,5961,736,3,0
AN,03-05-2020,17,5973,738,7,0
AN,04-05-2020,11,5983,738,4,0
AN,05-05-2020,23,6012,740,14,0
AN,06-05-2020,32,6027,742,13,0
AN,07-05-2020,17,6038,742,7,0
AN,08-05-2020,11,6069,745,16,0
AN,09-05-2020,17,6080,745,3,0
AN,10-05-2020,18,6092,745,2,0
AN,11-05-2020,8,6101,745,4,0
AN,12-05-2020,24,6114,750,6,0
AN,13-05-2020,42,6128,751,4,0
AN,14-05-2020,42,6146,754,8,0
AN,15-05-2020,19,6161,758,11,0
AN,16-05-2020,30,6174,760,3,0
AN,17-05-2020,8,6178,760,0,0
AN,18-05-2020,31,6182,760,9,0
AN,19-05-2020,13,6196,764,4,0
AN,20-05-2020,45,6210,766,4,0
AR,20-02-2020,0,0,0,0,0
AR,21-02-2020,0,0,0,0,0
AR,22-02-2020,0,0,0,0,0
AR,23-02-2020,0,0,0,0,0
AR,24-02-2020,0,0,0,0,0
AR,25-02-2020,0,0,0,0,0
AR,26-02-2020,0,0,0,0,0
AR,27-02-2020,0,0,0,0,0
AR,28-02-2020,0,0,0,0,0
AR,29-02-2020,0,0,0,0,0
AR,01-03-2020,0,0,0,0,0
AR,02-03-2020,0,0,0,0,0
AR,03-03-2020,0,0,0,0,0
AR,04-03-2020,1,0,0,0,0
AR,05-03-2020,0,0,0,0,0
AR,06-03-2020,4,0,0,0,0
AR,07-03-2020,0,0,0,0,0
AR,08-03-2020,2,0,3,3,0
AR,09-03-2020,23,0,3,1,0
AR,10-03-2020,8,22,3,0,0
AR,11-03-2020,7,28,3,2,0
AR,12-03-2020,19,30,3,1,0
AR,13-03-2020,16,42,5,0,0
AR,14-03-2020,41,59,5,0,0
AR,15-03-2020,26,64,7,4,0
AR,16-03-2020,60,74,9,1,0
AR,17-03-2020,19,81,9,1,0
AR,18-03-2020,55,101,14,2,0
AR,19-03-2020,79,127,28,2,0
AR,20-03-2020,64,192,33,5,0
AR,21-03-2020,108,241,45,2,0
AR,22-03-2020,106,298,52,8,0
AR,23-03-2020,120,384,66,5,0
AR,24-03-2020,149,459,75,3,0
AR,25-03-2020,209,562,93,8,0
AR,26-03-2020,222,693,114,10,0
AR,27-03-2020,254,835,124,35,0
AR,28-03-2020,266,835,145,11,0
AR,29-03-2020,220,1094,148,2,0
AR,30-03-2020,194,1176,157,32,0
AR,31-03-2020,219,1234,160,31,0
AR,01-04-2020,209,1320,170,31,0
AR,02-04-2020,189,1431,172,24,0
AR,03-04-2020,189,1505,182,27,0
AR,04-04-2020,154,1588,182,19,0
AR,05-04-2020,115,1637,186,14,0
AR,06-04-2020,102,1663,196,28,0
AR,07-04-2020,100,1716,204,37,0
AR,08-04-2020,136,1765,210,36,0
AR,09-04-2020,146,1822,212,24,0
AR,10-04-2020,138,1860,215,16,0
AR,11-04-2020,101,1901,221,25,0
AR,12-04-2020,117,1938,223,14,0
AR,13-04-2020,58,1966,229,28,0
AR,14-04-2020,93,2006,231,22,0
AR,15-04-2020,73,2108,235,29,0
AR,16-04-2020,78,2151,235,19,0
AR,17-04-2020,62,2180,237,39,0
AR,18-04-2020,57,2216,240,18,0
AR,19-04-2020,46,2244,242,18,0
AR,20-04-2020,30,2271,244,6,0
AR,21-04-2020,77,2304,246,13,0
AR,22-04-2020,72,2340,247,25,0
AR,23-04-2020,34,2359,248,14,0
AR,24-04-2020,55,2372,249,14,0
AR,25-04-2020,33,2395,251,3,0
AR,26-04-2020,30,2403,251,14,0
AR,27-04-2020,19,2425,252,9,0
AR,28-04-2020,38,2454,252,1,0
AR,29-04-2020,49,2477,252,3,0
AR,30-04-2020,25,2494,253,10,0
AR,01-05-2020,20,2503,253,12,0
AR,02-05-2020,28,2519,253,0,0
AR,03-05-2020,24,2526,253,1,0
AR,04-05-2020,19,2539,253,8,0
AR,05-05-2020,24,2552,253,18,0
AR,06-05-2020,27,2564,255,12,0
AR,07-05-2020,16,2578,255,15,0
AR,08-05-2020,17,2583,255,8,0
AR,09-05-2020,25,2588,255,1,0
AR,10-05-2020,20,2595,255,1,0
AR,11-05-2020,23,2606,255,3,0
AR,12-05-2020,13,2614,255,1,0
AR,13-05-2020,17,2625,255,7,0
AR,14-05-2020,43,2637,255,1,0
AR,15-05-2020,24,2648,255,1,0
AR,16-05-2020,22,2655,255,0,0
AR,17-05-2020,25,2659,255,0,0
AR,18-05-2020,17,2667,255,5,0
AR,19-05-2020,31,2434,255,4,0
AR,20-05-2020,37,2442,256,1,0
AS,20-02-2020,0,0,0,0,0
AS,21-02-2020,0,0,0,0,0
AS,22-02-2020,0,0,0,0,0
AS,23-02-2020,0,0,0,0,0
AS,24-02-2020,0,0,0,0,0
AS,25-02-2020,0,0,0,0,0
AS,26-02-2020,0,0,0,0,0
AS,27-02-2020,0,0,0,0,0
AS,28-02-2020,0,0,0,0,0
AS,29-02-2020,1,0,1,0,0
AS,01-03-2020,0,0,1,0,0
AS,02-03-2020,0,1,1,0,0
AS,03-03-2020,1,1,1,0,0
AS,04-03-2020,2,1,1,0,0
AS,05-03-2020,0,4,1,0,0
AS,06-03-2020,3,4,1,0,0
AS,07-03-2020,1,4,1,0,0
AS,08-03-2020,2,7,1,0,0
AS,09-03-2020,5,11,1,0,0
AS,10-03-2020,17,13,2,0,0
AS,11-03-2020,5,15,2,0,0
AS,12-03-2020,3,18,2,1,0
AS,13-03-2020,46,24,2,1,0
AS,14-03-2020,37,28,3,0,0
AS,15-03-2020,37,39,3,0,0
AS,16-03-2020,64,57,6,0,0
AS,17-03-2020,45,78,9,0,0
AS,18-03-2020,41,105,11,0,0
AS,19-03-2020,119,129,13,2,0
AS,20-03-2020,95,155,18,3,0
AS,21-03-2020,45,180,22,5,0
AS,22-03-2020,52,210,25,10,0
AS,23-03-2020,133,251,29,4,0
AS,24-03-2020,58,281,39,3,0
AS,25-03-2020,79,322,48,0,0
AS,26-03-2020,69,370,56,10,0
AS,27-03-2020,77,427,59,5,0
AS,28-03-2020,106,452,63,3,0
AS,29-03-2020,63,491,67,12,0
AS,30-03-2020,89,529,71,7,0
AS,31-03-2020,72,554,79,9,0
AS,01-04-2020,68,602,84,1,0
AS,02-04-2020,69,634,88,4,0
AS,03-04-2020,69,657,91,3,0
AS,04-04-2020,54,674,93,4,0
AS,05-04-2020,54,695,94,6,0
AS,06-04-2020,21,727,96,8,0
AS,07-04-2020,27,747,97,6,0
AS,08-04-2020,45,775,100,6,0
AS,09-04-2020,48,797,100,16,0
AS,10-04-2020,43,831,101,5,0
AS,11-04-2020,84,863,102,16,0
AS,12-04-2020,52,884,105,7,0
AS,13-04-2020,29,902,109,8,0
AS,14-04-2020,59,914,111,7,0
AS,15-04-2020,21,927,112,4,0
AS,16-04-2020,53,966,113,10,0
AS,17-04-2020,23,980,113,4,0
AS,18-04-2020,17,988,114,7,0
AS,19-04-2020,10,993,115,2,0
AS,20-04-2020,7,999,116,4,0
AS,21-04-2020,10,1007,116,8,0
AS,22-04-2020,11,1009,116,11,0
AS,23-04-2020,4,1012,117,6,0
AS,24-04-2020,4,1020,117,7,0
AS,25-04-2020,12,1022,117,8,0
AS,26-04-2020,2,1028,117,5,0
AS,27-04-2020,6,1035,117,4,0
AS,28-04-2020,15,1041,117,7,0
AS,29-04-2020,11,1047,117,4,0
AS,30-04-2020,15,1048,118,1,0
AS,01-05-2020,1,1052,120,6,0
AS,02-05-2020,2,1055,120,0,0
AS,03-05-2020,2,1057,120,4,0
AS,04-05-2020,1,1061,120,1,0
AS,05-05-2020,6,1068,120,3,0
AS,06-05-2020,8,1072,121,1,0
AS,07-05-2020,8,1076,121,1,0
AS,08-05-2020,6,1077,121,0,0
AS,09-05-2020,2,1080,121,3,0
AS,10-05-2020,4,1080,121,5,0
AS,11-05-2020,2,1080,121,2,0
AS,12-05-2020,4,1080,121,2,0
AS,13-05-2020,1,1084,121,1,0
AS,14-05-2020,7,1087,121,5,0
AS,15-05-2020,2,1087,121,1,0
AS,16-05-2020,0,1087,121,0,0
AS,17-05-2020,4,1088,121,2,0
AS,18-05-2020,3,1088,121,2,0
AS,19-05-2020,1,1089,121,1,0
AS,20-05-2020,0,1089,121,3,0
IB,20-02-2020,0,0,0,0,0
IB,21-02-2020,0,0,0,0,0
IB,22-02-2020,0,0,0,0,0
IB,23-02-2020,0,0,0,0,0
IB,24-02-2020,0,0,0,0,0
IB,25-02-2020,0,0,0,0,0
IB,26-02-2020,0,0,0,0,0
IB,27-02-2020,0,0,0,0,0
IB,28-02-2020,1,0,0,0,0
IB,29-02-2020,0,0,0,0,0
IB,01-03-2020,0,0,0,0,0
IB,02-03-2020,0,0,0,0,0
IB,03-03-2020,3,0,0,0,0
IB,04-03-2020,1,0,0,0,0
IB,05-03-2020,0,0,0,0,0
IB,06-03-2020,0,0,0,0,0
IB,07-03-2020,2,0,0,0,0
IB,08-03-2020,3,0,1,0,0
IB,09-03-2020,2,0,1,0,0
IB,10-03-2020,3,8,1,0,0
IB,11-03-2020,6,8,2,1,0
IB,12-03-2020,6,8,2,0,0
IB,13-03-2020,0,8,2,0,0
IB,14-03-2020,14,8,2,0,0
IB,15-03-2020,31,21,4,0,0
IB,16-03-2020,19,26,4,0,0
IB,17-03-2020,20,29,4,0,0
IB,18-03-2020,57,31,7,1,0
IB,19-03-2020,34,48,10,0,0
IB,20-03-2020,43,60,14,2,0
IB,21-03-2020,85,79,14,0,0
IB,22-03-2020,69,87,27,6,0
IB,23-03-2020,78,127,35,0,0
IB,24-03-2020,84,164,40,3,0
IB,25-03-2020,98,205,43,4,0
IB,26-03-2020,95,237,46,5,0
IB,27-03-2020,107,283,59,4,0
IB,28-03-2020,96,344,71,3,0
IB,29-03-2020,42,352,80,8,0
IB,30-03-2020,69,398,85,5,0
IB,31-03-2020,62,467,94,4,0
IB,01-04-2020,73,516,104,12,0
IB,02-04-2020,53,586,111,11,0
IB,03-04-2020,14,633,113,2,0
IB,04-04-2020,22,663,119,4,0
IB,05-04-2020,27,681,120,6,0
IB,06-04-2020,49,703,123,3,0
IB,07-04-2020,43,729,128,5,0
IB,08-04-2020,36,749,131,0,0
IB,09-04-2020,40,775,135,8,0
IB,10-04-2020,19,776,136,5,0
IB,11-04-2020,27,803,141,10,0
IB,12-04-2020,16,809,142,5,0
IB,13-04-2020,21,824,144,1,0
IB,14-04-2020,34,854,147,7,0
IB,15-04-2020,31,869,150,6,0
IB,16-04-2020,31,902,150,3,0
IB,17-04-2020,56,934,155,14,0
IB,18-04-2020,16,952,158,7,0
IB,19-04-2020,9,960,159,2,0
IB,20-04-2020,18,983,159,4,0
IB,21-04-2020,20,1001,163,3,0
IB,22-04-2020,19,1018,162,4,0
IB,23-04-2020,14,1036,162,4,0
IB,24-04-2020,26,1053,162,2,0
IB,25-04-2020,7,1057,162,1,0
IB,26-04-2020,5,1057,162,4,0
IB,27-04-2020,11,1069,162,2,0
IB,28-04-2020,9,1074,162,4,0
IB,29-04-2020,4,1077,163,3,0
IB,30-04-2020,11,1085,163,5,0
IB,01-05-2020,6,1089,163,4,0
IB,02-05-2020,6,1094,163,0,0
IB,03-05-2020,0,1097,163,0,0
IB,04-05-2020,2,1105,164,1,0
IB,05-05-2020,11,1117,164,1,0
IB,06-05-2020,8,1121,164,2,0
IB,07-05-2020,6,1121,164,1,0
IB,08-05-2020,9,1121,165,5,0
IB,09-05-2020,6,1121,165,2,0
IB,10-05-2020,3,1121,165,0,0
IB,11-05-2020,0,1122,166,1,0
IB,12-05-2020,4,1127,168,5,0
IB,13-05-2020,1,1127,168,1,0
IB,14-05-2020,9,1132,168,0,0
IB,15-05-2020,17,1132,168,0,0
IB,16-05-2020,9,1134,168,2,0
IB,17-05-2020,2,1134,168,0,0
IB,18-05-2020,12,1137,168,1,0
IB,19-05-2020,13,1142,168,2,0
IB,20-05-2020,8,1144,169,0,0
CN,20-02-2020,0,0,0,0,0
CN,21-02-2020,0,0,0,0,0
CN,22-02-2020,0,0,0,0,0
CN,23-02-2020,0,0,0,0,0
CN,24-02-2020,1,0,0,0,0
CN,25-02-2020,3,0,0,0,0
CN,26-02-2020,1,0,0,0,0
CN,27-02-2020,0,0,0,0,0
CN,28-02-2020,0,0,0,0,0
CN,29-02-2020,1,0,0,0,0
CN,01-03-2020,0,0,0,0,0
CN,02-03-2020,0,0,0,0,0
CN,03-03-2020,0,0,0,0,0
CN,04-03-2020,1,0,0,0,0
CN,05-03-2020,3,0,0,0,0
CN,06-03-2020,0,0,0,0,0
CN,07-03-2020,6,0,0,0,0
CN,08-03-2020,5,0,0,0,0
CN,09-03-2020,3,0,1,0,0
CN,10-03-2020,12,10,1,0,0
CN,11-03-2020,14,15,3,0,0
CN,12-03-2020,19,15,3,0,0
CN,13-03-2020,20,15,6,1,0
CN,14-03-2020,19,15,6,0,0
CN,15-03-2020,10,40,9,0,0
CN,16-03-2020,29,56,13,1,0
CN,17-03-2020,33,73,17,1,0
CN,18-03-2020,39,82,23,0,0
CN,19-03-2020,67,115,25,1,0
CN,20-03-2020,61,139,29,3,0
CN,21-03-2020,66,150,32,2,0
CN,22-03-2020,67,172,32,2,0
CN,23-03-2020,76,207,36,5,0
CN,24-03-2020,100,235,43,5,0
CN,25-03-2020,127,279,45,3,0
CN,26-03-2020,94,328,61,3,0
CN,27-03-2020,147,377,68,9,0
CN,28-03-2020,100,425,78,3,0
CN,29-03-2020,79,444,84,1,0
CN,30-03-2020,58,483,94,15,0
CN,31-03-2020,118,532,110,7,0
CN,01-04-2020,64,566,113,6,0
CN,02-04-2020,46,605,120,5,0
CN,03-04-2020,74,632,128,5,0
CN,04-04-2020,58,644,129,2,0
CN,05-04-2020,27,651,133,5,0
CN,06-04-2020,76,689,137,4,0
CN,07-04-2020,37,703,138,2,0
CN,08-04-2020,72,730,140,1,0
CN,09-04-2020,24,738,141,2,0
CN,10-04-2020,29,745,144,1,0
CN,11-04-2020,31,758,144,0,0
CN,12-04-2020,26,763,145,1,0
CN,13-04-2020,14,771,147,6,0
CN,14-04-2020,17,781,152,2,0
CN,15-04-2020,13,802,156,3,0
CN,16-04-2020,21,811,159,4,0
CN,17-04-2020,26,822,160,4,0
CN,18-04-2020,12,825,162,4,0
CN,19-04-2020,20,826,163,0,0
CN,20-04-2020,18,837,164,1,0
CN,21-04-2020,9,841,164,1,0
CN,22-04-2020,19,855,169,0,0
CN,23-04-2020,27,868,169,7,0
CN,24-04-2020,15,878,171,2,0
CN,25-04-2020,12,880,171,1,0
CN,26-04-2020,11,881,171,0,0
CN,27-04-2020,9,900,174,2,0
CN,28-04-2020,15,906,175,1,0
CN,29-04-2020,3,909,175,1,0
CN,30-04-2020,1,914,175,1,0
CN,01-05-2020,6,918,175,4,0
CN,02-05-2020,9,919,175,0,0
CN,03-05-2020,4,919,175,1,0
CN,04-05-2020,6,920,176,1,0
CN,05-05-2020,0,920,176,1,0
CN,06-05-2020,4,921,176,1,0
CN,07-05-2020,5,927,176,4,0
CN,08-05-2020,10,935,178,0,0
CN,09-05-2020,8,935,178,0,0
CN,10-05-2020,2,936,178,1,0
CN,11-05-2020,8,937,178,2,0
CN,12-05-2020,3,937,178,0,0
CN,13-05-2020,4,937,178,0,0
CN,14-05-2020,5,938,178,0,0
CN,15-05-2020,4,939,178,0,0
CN,16-05-2020,5,939,178,0,0
CN,17-05-2020,5,942,178,2,0
CN,18-05-2020,0,942,178,2,0
CN,19-05-2020,6,943,179,0,0
CN,20-05-2020,7,944,179,0,0
CB,20-02-2020,0,0,0,0,0
CB,21-02-2020,0,0,0,0,0
CB,22-02-2020,0,0,0,0,0
CB,23-02-2020,0,0,0,0,0
CB,24-02-2020,0,0,0,0,0
CB,25-02-2020,0,0,0,0,0
CB,26-02-2020,0,0,0,0,0
CB,27-02-2020,0,0,0,0,0
CB,28-02-2020,0,0,0,0,0
CB,29-02-2020,1,0,0,0,0
CB,01-03-2020,9,0,0,0,0
CB,02-03-2020,0,0,0,0,0
CB,03-03-2020,0,0,0,0,0
CB,04-03-2020,0,0,0,0,0
CB,05-03-2020,0,0,0,0,0
CB,06-03-2020,0,0,0,0,0
CB,07-03-2020,2,0,0,0,0
CB,08-03-2020,0,0,0,0,0
